,fecha,dia,mes,ano,linea,estacion,afluencia
80,2021-03-21,21,Marzo,2021,Linea 1,Pantitlán,15633
81,2021-03-22,22,Marzo,2021,Linea 1,Pantitlán,24335
82,2021-03-23,23,Marzo,2021,Linea 1,Pantitlán,27674
83,2021-03-24,24,Marzo,2021,Linea 1,Pantitlán,28206
84,2021-03-25,25,Marzo,2021,Linea 1,Pantitlán,27831
85,2021-03-26,26,Marzo,2021,Linea 1,Pantitlán,28778
86,2021-03-27,27,Marzo,2021,Linea 1,Pantitlán,36844
87,2021-03-28,28,Marzo,2021,Linea 1,Pantitlán,20871
88,2021-03-29,29,Marzo,2021,Linea 1,Pantitlán,47741
89,2021-03-30,30,Marzo,2021,Linea 1,Pantitlán,45074
90,2021-03-31,31,Marzo,2021,Linea 1,Pantitlán,"49,54"
91,2021-04-01,1,Abril,2021,Linea 1,Pantitlán,27264
92,2021-04-02,2,Abril,2021,Linea 1,Pantitlán,20935
93,2021-04-03,3,Abril,2021,Linea 1,Pantitlán,24081
94,2021-04-04,4,Abril,2021,Linea 1,Pantitlán,18062
95,2021-04-05,5,Abril,2021,Linea 1,Pantitlán,37762
96,2021-04-06,6,Abril,2021,Linea 1,Pantitlán,"38,62"
97,2021-04-07,7,Abril,2021,Linea 1,Pantitlán,38699
98,2021-04-08,8,Abril,2021,Linea 1,Pantitlán,30231
99,2021-04-09,9,Abril,2021,Linea 1,Pantitlán,28514
100,2021-04-10,10,Abril,2021,Linea 1,Pantitlán,22749
101,2021-04-11,11,Abril,2021,Linea 1,Pantitlán,14337
102,2021-04-12,12,Abril,2021,Linea 1,Pantitlán,23699
103,2021-04-13,13,Abril,2021,Linea 1,Pantitlán,24046
104,2021-04-14,14,Abril,2021,Linea 1,Pantitlán,"23,58"
105,2021-04-15,15,Abril,2021,Linea 1,Pantitlán,25801
106,2021-04-16,16,Abril,2021,Linea 1,Pantitlán,25117
107,2021-04-17,17,Abril,2021,Linea 1,Pantitlán,21033
108,2021-04-18,18,Abril,2021,Linea 1,Pantitlán,14099
109,2021-04-19,19,Abril,2021,Linea 1,Pantitlán,"23,63"
110,2021-04-20,20,Abril,2021,Linea 1,Pantitlán,24401
111,2021-04-21,21,Abril,2021,Linea 1,Pantitlán,24567
112,2021-04-22,22,Abril,2021,Linea 1,Pantitlán,24316
113,2021-04-23,23,Abril,2021,Linea 1,Pantitlán,25144
114,2021-04-24,24,Abril,2021,Linea 1,Pantitlán,21398
115,2021-04-25,25,Abril,2021,Linea 1,Pantitlán,13098
116,2021-04-26,26,Abril,2021,Linea 1,Pantitlán,"24,65"
